cik,tick,compNameE,,,,
1085621,ICGE,Actua Corp,0001085621,"""0001085621"",",1085621,0
1088787,EVLO,"CD INTERNATIONAL ENTERPRISES, INC.",0001088787,"""0001088787"",",#N/A,0
1089531,AWLD,"KINGOLD JEWELRY, INC.",0001089531,"""0001089531"",",1089531,0
1089907,KANA,SWK Holdings Corp,0001089907,"""0001089907"",",1089907,0
1090908,SLTC,"DETERMINE, INC.",0001090908,"""0001090908"",",1090908,0
1091325,IYSA,"CHINA YIDA HOLDING, CO.",0001091325,"""0001091325"",",#N/A,0
1091491,HCSB,HCSB FINANCIAL CORP,0001091491,"""0001091491"",",1091491,0
1091596,CMXI,"Nuo Therapeutics, Inc.",0001091596,"""0001091596"",",#N/A,0
1092662,TSLU,"CHEMBIO DIAGNOSTICS, INC.",0001092662,"""0001092662"",",1092662,0
1095130,CDKX,"ARKADOS GROUP, INC.",0001095130,"""0001095130"",",1095130,0
1095291,WWWW,"WEB.COM GROUP, INC.",0001095291,"""0001095291"",",1095291,0
1095651,SFI,ISTAR INC.,0001095651,"""0001095651"",",1095651,0
1095996,WLS,WILLIAM LYON HOMES,0001095996,"""0001095996"",",1095996,0
1097792,MEDG,"Ominto, Inc.",0001097792,"""0001097792"",",1097792,0
1097864,ONNN,ON SEMICONDUCTOR CORP,0001097864,"""0001097864"",",1097864,0
1100270,KKD,KRISPY KREME DOUGHNUTS INC,0001100270,"""0001100270"",",#N/A,0
1100542,ALMG,ALAMOGORDO FINANCIAL CORP,0001100542,"""0001100542"",",#N/A,0
1101026,HEPI,"Zivo Bioscience, Inc.",0001101026,"""0001101026"",",1101026,0
1101680,ZHNE,ZHONE TECHNOLOGIES INC,0001101680,"""0001101680"",",1101680,0
1103795,STWA,"QS Energy, Inc.",0001103795,"""0001103795"",",1103795,0
1106644,TSET,"CHINA PHARMA HOLDINGS, INC.",0001106644,"""0001106644"",",1106644,0
1109196,TELK,"MABVAX THERAPEUTICS HOLDINGS, INC.",0001109196,"""0001109196"",",#N/A,0
1112920,GSCP,GLOBALSCAPE INC,0001112920,"""0001112920"",",1112920,0
1113513,SOLN,"MobileSmith, Inc.",0001113513,"""0001113513"",",1113513,0
1114483,GB,"GREATBATCH, INC.",0001114483,"""0001114483"",",1114483,0
1120370,TWRT,"BROADWIND ENERGY, INC.",0001120370,"""0001120370"",",1120370,0
1121793,JGPK,"JAGGED PEAK, INC.",0001121793,"""0001121793"",",#N/A,0
1122063,BEAC,"FTE Networks, Inc.",0001122063,"""0001122063"",",1122063,0
1123316,VPS,"Crystal Rock Holdings, Inc.",0001123316,"""0001123316"",",1123316,0
1126956,LG,LACLEDE GROUP INC,0001126956,"""0001126956"",",#N/A,0
1128281,FBOR,"Saker Aviation Services, Inc.",0001128281,"""0001128281"",",1128281,0
1128361,BBCN,HOPE BANCORP INC,0001128361,"""0001128361"",",1128361,0
1130591,XNPT,XENOPORT INC,0001130591,"""0001130591"",",#N/A,0
1131013,GMWZX,GuideStone Funds,0001131013,"""0001131013"",",#N/A,0
1136174,HYTM,"CATASYS, INC.",0001136174,"""0001136174"",",#N/A,0
1136869,ZMH,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,"""0001136869"",",1136869,0
1138724,DWMA,"Global Arena Holding, Inc.",0001138724,"""0001138724"",",1138724,0
1140215,REEDR,"REED'S, INC.",0001140215,"""0001140215"",",1140215,0
1140414,SNHI,"Legend Oil & Gas, Ltd.",0001140414,"""0001140414"",",1140414,0
1142701,UNTD,UNITED ONLINE INC,0001142701,"""0001142701"",",#N/A,0
1142750,AHS,AMN HEALTHCARE SERVICES INC,0001142750,"""0001142750"",",#N/A,0
1144354,HPY,HEARTLAND PAYMENT SYSTEMS INC,0001144354,"""0001144354"",",#N/A,0
1157601,SNTA,SYNTA PHARMACEUTICALS CORP,0001157601,"""0001157601"",",1157601,0
1157602,VTAE,"Vitae Pharmaceuticals, Inc",0001157602,"""0001157602"",",#N/A,0
1157647,WFD,"Western New England Bancorp, Inc.",0001157647,"""0001157647"",",#N/A,0
1158419,SPEM,SPEEDEMISSIONS INC,0001158419,"""0001158419"",",1158419,0
1160308,ANX,"Mast Therapeutics, Inc.",0001160308,"""0001160308"",",1160308,0
1167419,APNB,"Venaxis, Inc.",0001167419,"""0001167419"",",1167419,0
1168220,OXFV,ULURU Inc.,0001168220,"""0001168220"",",1168220,0
1169028,BIE,BLACKROCK MUNICIPAL BOND INVESTMENT TRUST,0001169028,"""0001169028"",",#N/A,0
1171014,COSI,COSI INC,0001171014,"""0001171014"",",1171014,0
1171838,JVEX,"Sundance Strategies, Inc.",0001171838,"""0001171838"",",1171838,0
1172631,MTKN,"Sunworks, Inc.",0001172631,"""0001172631"",",#N/A,0
1172706,INSA,"UNIROYAL GLOBAL ENGINEERED PRODUCTS, INC.",0001172706,"""0001172706"",",1172706,0
1174814,HOUB,GOLD BILLION GROUP HOLDINGS Ltd,0001174814,"""0001174814"",",1174814,0
1174940,ONI,ORAGENICS INC,0001174940,"""0001174940"",",1174940,0
1175442,WGMI,EZTD Inc,0001175442,"""0001175442"",",1175442,0
1177702,SCST,SAIA INC,0001177702,"""0001177702"",",1177702,0
1177845,XLRT,XPLORE TECHNOLOGIES CORP,0001177845,"""0001177845"",",1177845,0
1178104,CRDC,DEXTERA SURGICAL INC,0001178104,"""0001178104"",",1178104,0
1178377,NPKG,"Pollex, Inc.",0001178377,"""0001178377"",",1178377,0
1178409,TDBK,TIDELANDS BANCSHARES INC,0001178409,"""0001178409"",",#N/A,0
1178711,TSPT,"Paratek Pharmaceuticals, Inc.",0001178711,"""0001178711"",",#N/A,0
1179060,XTEX,"EnLink Midstream Partners, LP",0001179060,"""0001179060"",",#N/A,0
1206133,COPI,"Seaniemac International, Ltd.",0001206133,"""0001206133"",",1206133,0
1211583,ADHXF,FENNEC PHARMACEUTICALS INC.,0001211583,"""0001211583"",",1211583,0
1216596,NTK,NORTEK INC,0001216596,"""0001216596"",",#N/A,0
1236997,XNWK,COUNTERPATH CORP,0001236997,"""0001236997"",",1236997,0
1239188,GSHO,GENERAL STEEL HOLDINGS INC,0001239188,"""0001239188"",",1239188,0
1262104,MSHL,"MEI Pharma, Inc.",0001262104,"""0001262104"",",1262104,0
1262279,FMD,FIRST MARBLEHEAD CORP,0001262279,"""0001262279"",",#N/A,0
1262976,VPRT,CIMPRESS N.V.,0001262976,"""0001262976"",",1262976,0
1263762,NCBC,"SELECT BANCORP, INC.",0001263762,"""0001263762"",",1263762,0
1269127,VRDM,GREENSHIFT CORP,0001269127,"""0001269127"",",1269127,0
1272550,PIMO,"root9B Technologies, Inc.",0001272550,"""0001272550"",",#N/A,0
1272597,GRMH,"Foundation Healthcare, Inc.",0001272597,"""0001272597"",",1272597,0
1272754,FMPX,"T Bancshares, Inc.",0001272754,"""0001272754"",",#N/A,0
1274032,IFO,INFOSONICS Corp,0001274032,"""0001274032"",",1274032,0
1275101,BOJF,BANK OF THE JAMES FINANCIAL GROUP INC,0001275101,"""0001275101"",",1275101,0
1276591,HNSN,HANSEN MEDICAL INC,0001276591,"""0001276591"",",#N/A,0
1278027,BGF,"B&G Foods, Inc.",0001278027,"""0001278027"",",1278027,0
1279620,VNGM,"Zoned Properties, Inc.",0001279620,"""0001279620"",",1279620,0
1279695,UBI,UNIVERSAL BIOSENSORS INC,0001279695,"""0001279695"",",#N/A,0
1282266,VCG,"WINDSTREAM HOLDINGS, INC.",0001282266,"""0001282266"",",#N/A,0
1283582,FCLF,First Clover Leaf Financial Corp.,0001283582,"""0001283582"",",#N/A,0
1285224,WIBC,WILSHIRE BANCORP INC,0001285224,"""0001285224"",",#N/A,0
1285543,SKFT,StrikeForce Technologies Inc.,0001285543,"""0001285543"",",1285543,0
1286345,TNTD,HPIL HOLDING,0001286345,"""0001286345"",",1286345,0
1286364,STBBX,PIONEER SHORT TERM INCOME FUND,0001286364,"""0001286364"",",#N/A,0
1288359,OTT,OTELCO INC.,0001288359,"""0001288359"",",#N/A,0
1288750,TBLC,Timberline Resources Corp,0001288750,"""0001288750"",",1288750,0
1289236,BMR,BioMed Realty Trust Inc,0001289236,"""0001289236"",",#N/A,0
1289945,USMO,"Spok Holdings, Inc",0001289945,"""0001289945"",",1289945,0
1290506,CYGI,ECOLOCAP SOLUTIONS INC.,0001290506,"""0001290506"",",#N/A,0
1290658,CBSJ,"Gotham Capital Holdings, Inc.",0001290658,"""0001290658"",",1290658,0
1293593,VVIN,"Synutra International, Inc.",0001293593,"""0001293593"",",1293593,0
1294649,PPRO,WALKER INNOVATION INC.,0001294649,"""0001294649"",",1294649,0
1297223,DLKM,HANDENI GOLD INC.,0001297223,"""0001297223"",",1297223,0
1297336,RLOC,ReachLocal Inc,0001297336,"""0001297336"",",#N/A,0
1297401,DWA,"DreamWorks Animation SKG, Inc.",0001297401,"""0001297401"",",#N/A,0
1297587,CSG,Gramercy Property Trust,0001297587,"""0001297587"",",#N/A,0
1297704,NGPC,OHA Investment Corp,0001297704,"""0001297704"",",1297704,0
1298699,JPZ,Nuveen S&P 500 BuyWrite Income Fund,0001298699,"""0001298699"",",#N/A,0
1301031,DWRE,Demandware Inc,0001301031,"""0001301031"",",#N/A,0
1301236,MDH,Sotherly Hotels Inc.,0001301236,"""0001301236"",",1301236,0
1305253,CLDN,"Eiger BioPharmaceuticals, Inc.",0001305253,"""0001305253"",",1305253,0
1305294,QLIK,QLIK TECHNOLOGIES INC,0001305294,"""0001305294"",",#N/A,0
1307579,BMOM,LIQTECH INTERNATIONAL INC,0001307579,"""0001307579"",",#N/A,0
1308208,UACL,"Universal Truckload Services, Inc.",0001308208,"""0001308208"",",1308208,0
1309442,HBDT,InsPro Technologies Corp,0001309442,"""0001309442"",",1309442,0
1310709,OLA,Guggenheim Enhanced Equity Income Fund (f/k/a Old Mutual/Claymore Long-Short Fund),0001310709,"""0001310709"",",1310709,0
1311230,SZYM,SOLAZYME INC,0001311230,"""0001311230"",",#N/A,0
1311735,ASDI,FBEC Worldwide Inc.,0001311735,"""0001311735"",",1311735,0
1315255,MPAQ,"GTT Communications, Inc.",0001315255,"""0001315255"",",1315255,0
1316360,IHS,IHS Inc.,0001316360,"""0001316360"",",#N/A,0
1317630,ITC,ITC Holdings Corp.,0001317630,"""0001317630"",",#N/A,0
1318342,EPHCX,Investment Managers Series Trust,0001318342,"""0001318342"",",#N/A,0
1318568,GCA,Everi Holdings Inc.,0001318568,"""0001318568"",",1318568,0
1320947,DMND,Diamond Foods Inc,0001320947,"""0001320947"",",#N/A,0
1326200,GSTL,GENCO SHIPPING & TRADING LTD,0001326200,"""0001326200"",",1326200,0
1327467,CPXX,Celator Pharmaceuticals Inc,0001327467,"""0001327467"",",#N/A,0
1327471,RLD,RealD Inc.,0001327471,"""0001327471"",",#N/A,0
1328015,IMPR,Imprivata Inc,0001328015,"""0001328015"",",#N/A,0
1329606,PMFI,"Clean Energy Technologies, Inc.",0001329606,"""0001329606"",",1329606,0
1329954,GOTIX,John Hancock Funds III,0001329954,"""0001329954"",",#N/A,0
1331745,TAL,"TAL International Group, Inc.",0001331745,"""0001331745"",",#N/A,0
1331875,FNT,"Fidelity National Financial, Inc.",0001331875,"""0001331875"",",#N/A,0
1331971,JHCVX,John Hancock Funds II,0001331971,"""0001331971"",",#N/A,0
1336917,UARM,"Under Armour, Inc.",0001336917,"""0001336917"",",1336917,0
1340786,FSYS,"Fuel Systems Solutions, Inc.",0001340786,"""0001340786"",",#N/A,0
1343254,WSEG,Dominovas Energy Corp,0001343254,"""0001343254"",",1343254,0
1343465,NXGB,"PF Hospitality Group, Inc.",0001343465,"""0001343465"",",1343465,0
1348324,LDRH,LDR HOLDING CORP,0001348324,"""0001348324"",",#N/A,0
1355042,FIDM,China Auto Logistics Inc,0001355042,"""0001355042"",",1355042,0
1355096,LINTA,Liberty Interactive Corp,0001355096,"""0001355096"",",1355096,0
1355677,AFSN,Mexus Gold US,0001355677,"""0001355677"",",1355677,0
1355786,CBNK,"CHICOPEE BANCORP, INC.",0001355786,"""0001355786"",",#N/A,0
1357115,TTSR,Brekford Corp.,0001357115,"""0001357115"",",1357115,0
1357371,BBEP,Breitburn Energy Partners LP,0001357371,"""0001357371"",",#N/A,0
1360683,TLMR,"TALMER BANCORP, INC.",0001360683,"""0001360683"",",#N/A,0
1363958,URON,"WESTERN CAPITAL RESOURCES, INC.",0001363958,"""0001363958"",",1363958,0
1364856,MNRK,"Monarch Financial Holdings, Inc.",0001364856,"""0001364856"",",#N/A,0
1366340,COIN,"FINJAN HOLDINGS, INC.",0001366340,"""0001366340"",",1366340,0
1367064,EXLP,"Archrock Partners, L.P.",0001367064,"""0001367064"",",#N/A,0
1368365,HSWI,"Remark Media, Inc.",0001368365,"""0001368365"",",1368365,0
1370804,DIIG,MEDICAL IMAGING CORP.,0001370804,"""0001370804"",",1370804,0
1372183,MXEX,"Monaker Group, Inc.",0001372183,"""0001372183"",",1372183,0
1373670,BIOF,"Green Brick Partners, Inc.",0001373670,"""0001373670"",",1373670,0
1376804,BUKX,"VNUE, Inc.",0001376804,"""0001376804"",",1376804,0
1377936,GNV,SARATOGA INVESTMENT CORP.,0001377936,"""0001377936"",",#N/A,0
1379661,NGLS,Targa Resources Partners LP,0001379661,"""0001379661"",",#N/A,0
1384195,RNGE,"RING ENERGY, INC.",0001384195,"""0001384195"",",1384195,0
1384365,PTOO,"RAADR, INC.",0001384365,"""0001384365"",",1384365,0
1385228,BIND,"BIND Therapeutics, Inc",0001385228,"""0001385228"",",#N/A,0
1385329,SLVM,"Silverstar Resources, Inc.",0001385329,"""0001385329"",",1385329,0
1385508,LLTP,"OPIANT PHARMACEUTICALS, INC.",0001385508,"""0001385508"",",#N/A,0
1386049,BOMJ,Beyond Commerce,0001386049,"""0001386049"",",#N/A,0
1388430,CAP,"CAI International, Inc.",0001388430,"""0001388430"",",1388430,0
1389050,EXH,"Archrock, Inc.",0001389050,"""0001389050"",",#N/A,0
1389072,ASXHTW,"HeartWare International, Inc.",0001389072,"""0001389072"",",#N/A,1
1392694,MKED,"KSIX Media Holdings, Inc.",0001392694,"""0001392694"",",1392694,0
1393066,ABH,Resolute Forest Products Inc.,0001393066,"""0001393066"",",1393066,0
1393935,VAEV,"Thinspace Technology, Inc.",0001393935,"""0001393935"",",1393935,0
1394108,AJGI,Sino United Worldwide Consolidated Ltd.,0001394108,"""0001394108"",",1394108,0
1394130,SUIP,Event Cardio Group Inc.,0001394130,"""0001394130"",",1394130,0
1394156,DFRH,"Diversified Restaurant Holdings, Inc.",0001394156,"""0001394156"",",1394156,0
1394872,MSOL,Ambient Water Corp,0001394872,"""0001394872"",",#N/A,0
1395400,ZEEZ,Enhance Skin Products Inc,0001395400,"""0001395400"",",1395400,0
1396536,IOSA,"DUOS TECHNOLOGIES GROUP, INC.",0001396536,"""0001396536"",",1396536,0
1399306,GRPR,Grid Petroleum Corp.,0001399306,"""0001399306"",",1399306,0
1400891,CCMOV,"iHeartMedia, Inc.",0001400891,"""0001400891"",",1400891,0
1402281,PFAP,Erin Energy Corp.,0001402281,"""0001402281"",",1402281,0
1402328,MWBN,"Sunshine Biopharma, Inc",0001402328,"""0001402328"",",#N/A,0
1403085,CVSL,CVSL INC.,0001403085,"""0001403085"",",1403085,0
1403275,FAV,FIRST TRUST DIVIDEND & INCOME FUND,0001403275,"""0001403275"",",#N/A,0
1403570,HGUE,QUANTUM MATERIALS CORP.,0001403570,"""0001403570"",",1403570,0
1403853,HEK,"Nuverra Environmental Solutions, Inc.",0001403853,"""0001403853"",",1403853,0
1405277,CTCT,"Constant Contact, Inc.",0001405277,"""0001405277"",",#N/A,0
1407623,NAQ,RETAIL OPPORTUNITY INVESTMENTS CORP,0001407623,"""0001407623"",",1407623,0
1408299,TNUS,"Entia Biosciences, Inc.",0001408299,"""0001408299"",",#N/A,0
1410428,VRNG,FORM Holdings Corp.,0001410428,"""0001410428"",",1410428,0
1411158,ANAC,"Anacor Pharmaceuticals, Inc.",0001411158,"""0001411158"",",#N/A,0
1412067,ONTY,Oncothyreon Inc.,0001412067,"""0001412067"",",1412067,0
1412347,OXF,"Westmoreland Resource Partners, LP",0001412347,"""0001412347"",",#N/A,0
1414628,CLPI,"Calpian, Inc.",0001414628,"""0001414628"",",1414628,0
1416792,RLYP,Relypsa Inc,0001416792,"""0001416792"",",#N/A,0
1416876,MDBL,"First Choice Healthcare Solutions, Inc.",0001416876,"""0001416876"",",1416876,0
1417664,SNPY,"SINO PAYMENTS, INC.",0001417664,"""0001417664"",",#N/A,0
1419521,HTS,Hatteras Financial Corp,0001419521,"""0001419521"",",#N/A,0
1419806,REE,RARE ELEMENT RESOURCES LTD,0001419806,"""0001419806"",",1419806,0
1419852,MFRM,MATTRESS FIRM HOLDING CORP.,0001419852,"""0001419852"",",#N/A,0
1420525,FCTY,"1st Century Bancshares, Inc.",0001420525,"""0001420525"",",#N/A,0
1420569,DAML,Pulse Beverage Corp,0001420569,"""0001420569"",",#N/A,0
1422109,BBLU,"Blue Earth, Inc.",0001422109,"""0001422109"",",#N/A,0
1423542,SKUL,"SKULLCANDY, INC.",0001423542,"""0001423542"",",#N/A,0
1423586,QPRJ,RORINE INTERNATIONAL HOLDING Corp,0001423586,"""0001423586"",",1423586,0
1424454,ROVI,Rovi Corp,0001424454,"""0001424454"",",#N/A,0
1424549,AEGA,FUTURELAND CORP.,0001424549,"""0001424549"",",1424549,0
1424864,AARI,Rise Resources Inc.,0001424864,"""0001424864"",",1424864,0
1425289,BNZA,BRIGHTLANE CORP.,0001425289,"""0001425289"",",1425289,0
1426800,VTUS,"ASSEMBLY BIOSCIENCES, INC.",0001426800,"""0001426800"",",1426800,0
1428816,NHYT,"Epoxy, Inc.",0001428816,"""0001428816"",",1428816,0
1430306,TAEI,Tonix Pharmaceuticals Holding Corp.,0001430306,"""0001430306"",",1430306,0
1432150,GGOX,"GigPeak, Inc.",0001432150,"""0001432150"",",1432150,0
1434620,IILG,"Interval Leisure Group, Inc.",0001434620,"""0001434620"",",1434620,0
1435064,CTEI,CEMTREX INC,0001435064,"""0001435064"",",1435064,0
1437557,RECV,"LILIS ENERGY, INC.",0001437557,"""0001437557"",",1437557,0
1438943,LDMID,Stevia First Corp.,0001438943,"""0001438943"",",1438943,0
1442236,IRHC,Quest Resource Holding Corp,0001442236,"""0001442236"",",1442236,0
1443863,CEYY,BioCorRx Inc.,0001443863,"""0001443863"",",1443863,0
1444403,GSTP,CODE GREEN APPAREL CORP,0001444403,"""0001444403"",",1444403,0
1444839,GCHO,Bravo Multinational Inc.,0001444839,"""0001444839"",",#N/A,0
1445942,TRER,Texas Rare Earth Resources Corp.,0001445942,"""0001445942"",",1445942,0
1449349,ADMD,ADVANCED MEDICAL ISOTOPE Corp,0001449349,"""0001449349"",",#N/A,0
1449574,ECRY,"Bravatek Solutions, Inc.",0001449574,"""0001449574"",",1449574,0
1450390,MLTX,BAKKEN RESOURCES INC,0001450390,"""0001450390"",",1450390,0
1452857,SPNHU,STEEL PARTNERS HOLDINGS L.P.,0001452857,"""0001452857"",",#N/A,0
1454742,HDSI,"GOOD GAMING, INC.",0001454742,"""0001454742"",",1454742,0
1458581,BRVM,"ZENOSENSE, INC.",0001458581,"""0001458581"",",1458581,0
1460602,BOUT,Orgenesis Inc.,0001460602,"""0001460602"",",1460602,0
1463208,LRNC,PETROTERRA CORP.,0001463208,"""0001463208"",",1463208,0
1464165,NEUKF,Pivot Pharmaceuticals Inc.,0001464165,"""0001464165"",",1464165,0
1472468,GOAS,"XIANGTIAN (USA) AIR POWER CO., LTD.",0001472468,"""0001472468"",",1472468,0
1473334,STVS,"Nova Lifestyle, Inc.",0001473334,"""0001473334"",",1473334,0
1474167,PMLT,Cosmos Holdings Inc.,0001474167,"""0001474167"",",1474167,0
1477168,MYOC,"Star Mountain Resources, Inc.",0001477168,"""0001477168"",",1477168,0
1478725,CURG,Virtus Oil & Gas Corp.,0001478725,"""0001478725"",",1478725,0
1486299,OINK,"AOXIN TIANLI GROUP, INC.",0001486299,"""0001486299"",",1486299,0
1489902,RCHR,"CHINA GEWANG BIOTECHNOLOGY, INC.",0001489902,"""0001489902"",",1489902,0
1490660,MKTO,"Marketo, Inc.",0001490660,"""0001490660"",",#N/A,0
1490983,CCG,"Campus Crest Communities, Inc.",0001490983,"""0001490983"",",#N/A,0
1492658,TRNX,Wright Medical Group N.V.,0001492658,"""0001492658"",",#N/A,0
1493563,CBXX,"FlikMedia, Inc.",0001493563,"""0001493563"",",1493563,0
1493761,PAMT,Turtle Beach Corp,0001493761,"""0001493761"",",1493761,0
1494162,SFEX,SOLARFLEX CORP,0001494162,"""0001494162"",",1494162,0
1496268,RVAAX,"REVA Medical, Inc.",0001496268,"""0001496268"",",#N/A,0
1498021,EXAM,"ExamWorks Group, Inc.",0001498021,"""0001498021"",",#N/A,0
1498067,BRDT,BREEDIT CORP.,0001498067,"""0001498067"",",#N/A,0
1500198,OSEO,"Original Source Entertainment, Inc.",0001500198,"""0001500198"",",1500198,0
1501756,AAVL,"Avalanche Biotechnologies, Inc.",0001501756,"""0001501756"",",1501756,0
1504167,TPND,BioPharmX Corp,0001504167,"""0001504167"",",1504167,0
1504222,DRHC,HIGH PERFORMANCE BEVERAGES CO.,0001504222,"""0001504222"",",1504222,0
1504389,NEPA,"Rich Pharmaceuticals, Inc.",0001504389,"""0001504389"",",1504389,0
1505497,SCLZ,"BioRestorative Therapies, Inc.",0001505497,"""0001505497"",",1505497,0
1506439,SMTP,"SharpSpring, Inc.",0001506439,"""0001506439"",",1506439,0
1507385,ARCP,"VEREIT, Inc.",0001507385,"""0001507385"",",1507385,0
1507881,USMD,"USMD Holdings, Inc.",0001507881,"""0001507881"",",#N/A,0
1508381,SDNT,Bionik Laboratories Corp.,0001508381,"""0001508381"",",1508381,0
1510964,CANV,"CV Sciences, Inc.",0001510964,"""0001510964"",",1510964,0
1512074,SCGQ,RMG Networks Holding Corp,0001512074,"""0001512074"",",1512074,0
1514183,GDSW,"Point Capital, Inc.",0001514183,"""0001514183"",",1514183,0
1515980,AMTG,"Apollo Residential Mortgage, Inc.",0001515980,"""0001515980"",",#N/A,0
1517130,CGEIU,Pingtan Marine Enterprise Ltd.,0001517130,"""0001517130"",",1517130,0
1518171,FSPT,Media Analytics Corp,0001518171,"""0001518171"",",#N/A,0
1522327,MACN,Entegra Financial Corp.,0001522327,"""0001522327"",",#N/A,0
1525998,RNF,"Rentech Nitrogen Partners, L.P.",0001525998,"""0001525998"",",#N/A,0
1527383,BKGM,BankGuam Holding Co,0001527383,"""0001527383"",",1527383,0
1527622,RRMS,"Rose Rock Midstream, L.P.",0001527622,"""0001527622"",",#N/A,0
1533615,SOOP,Global Medical REIT Inc.,0001533615,"""0001533615"",",1533615,0
1534708,EURC,"Eastside Distilling, Inc.",0001534708,"""0001534708"",",#N/A,0
1535031,TUMI,"Tumi Holdings, Inc.",0001535031,"""0001535031"",",#N/A,0
1535079,TPOI,"McorpCX, Inc.",0001535079,"""0001535079"",",1535079,0
1541157,CLTX,Akari Therapeutics Plc,0001541157,"""0001541157"",",#N/A,0
1543272,BNBI,"BullsNBears.com, Inc.",0001543272,"""0001543272"",",1543272,0
1543418,NCQ,NovaCopper Inc.,0001543418,"""0001543418"",",1543418,0
1546640,ADT,ADT Corp,0001546640,"""0001546640"",",#N/A,0
1546679,SAVI,"MOBETIZE, CORP.",0001546679,"""0001546679"",",1546679,0
1548981,ARPI,"American Residential Properties, Inc.",0001548981,"""0001548981"",",#N/A,0
1549872,CNSI,"XURA, INC.",0001549872,"""0001549872"",",#N/A,0
1557725,RREDX,Resource Real Estate Diversified Income Fund,0001557725,"""0001557725"",",#N/A,0
1557798,FPET,"Tianci International, Inc.",0001557798,"""0001557798"",",1557798,0
1562214,HTWO,"ZAIS Group Holdings, Inc.",0001562214,"""0001562214"",",1562214,0
1563665,HART,"Biostage, Inc.",0001563665,"""0001563665"",",1563665,0
1565337,TXTR,Textura Corp,0001565337,"""0001565337"",",#N/A,0
1566897,DRII,"Diamond Resorts International, Inc.",0001566897,"""0001566897"",",#N/A,0
1568385,BMAQ,"Bright Mountain Media, Inc.",0001568385,"""0001568385"",",1568385,0
1569329,JCOF,"Youngevity International, Inc.",0001569329,"""0001569329"",",1569329,0
1574815,STCK,"BMC STOCK HOLDINGS, INC.",0001574815,"""0001574815"",",1574815,0
1575311,DTLA,Brookfield DTLA Fund Office Trust Investor Inc.,0001575311,"""0001575311"",",#N/A,0
1579471,SWAY,Colony Starwood Homes,0001579471,"""0001579471"",",1579471,0
1580185,JGW,J.G. Wentworth Co,0001580185,"""0001580185"",",1580185,0
1583513,GDEF,"STG Group, Inc.",0001583513,"""0001583513"",",1583513,0
1584207,LEAF,"OneMain Holdings, Inc.",0001584207,"""0001584207"",",1584207,0
1585583,LEVY,"Del Taco Restaurants, Inc.",0001585583,"""0001585583"",",1585583,0
1591165,MDVXU,Medovex Corp.,0001591165,"""0001591165"",",#N/A,0
1603969,GGACU,Garnero Group Acquisition Co,0001603969,"""0001603969"",",#N/A,0
1604416,WLRHU,WL Ross Holding Corp.,0001604416,"""0001604416"",",1604416,0
1606163,TFSCU,"Limbach Holdings, Inc.",0001606163,"""0001606163"",",#N/A,0
1611852,CADT,DT Asia Investments Ltd,0001611852,"""0001611852"",",#N/A,0
1614818,FNTCU,CardConnect Corp.,0001614818,"""0001614818"",",1614818,0
1615892,AUMA,AR CAPITAL ACQUISITION,0001615892,"""0001615892"",",#N/A,0
1616101,SSRG,Symmetry Surgical Inc.,0001616101,"""0001616101"",",#N/A,0
1619551,CNLM,CB Pharma Acquisition Corp.,0001619551,"""0001619551"",",#N/A,0
1620546,BXLT,Baxalta Inc,0001620546,"""0001620546"",",#N/A,0
1622893,JMG,"Journal Media Group, Inc.",0001622893,"""0001622893"",",#N/A,0
1624326,PAVMU,PAVmed Inc.,0001624326,"""0001624326"",",#N/A,0
1629995,CPGX,"Columbia Pipeline Group, Inc.",0001629995,"""0001629995"",",#N/A,0
1640384,LMFAU,"LM FUNDING AMERICA, INC.",0001640384,"""0001640384"",",#N/A,0
